v
# Front
1.0, 1.0, 1.0
-1.0, 1.0, 1.0
-1.0, -1.0, 1.0
1.0, -1.0, 1.0
# Right
1.0, 1.0, -1.0
1.0, 1.0, 1.0
1.0, -1.0, 1.0
1.0, -1.0, -1.0
# Top
1.0, 1.0, -1.0
-1.0, 1.0, -1.0
-1.0, 1.0, 1.0
1.0, 1.0, 1.0
# Left
-1.0, 1.0, 1.0
-1.0, 1.0, -1.0
-1.0, -1.0, 1.0
-1.0, -1.0, -1.0
# Bottom
1.0, -1.0, 1.0
-1.0, -1.0, 1.0
1.0, -1.0, -1.0
-1.0, -1.0, -1.0
# Back
-1.0, 1.0, -1.0
1.0, 1.0, -1.0
-1.0, -1.0, -1.0
1.0, -1.0, -1.0
n
# Front
0.0, 0.0, 1.0
0.0, 0.0, 1.0
0.0, 0.0, 1.0
0.0, 0.0, 1.0
# Right
1.0, 0.0, 0.0
1.0, 0.0, 0.0
1.0, 0.0, 0.0
1.0, 0.0, 0.0
#Top
0.0, 1.0, 0.0
0.0, 1.0, 0.0
0.0, 1.0, 0.0
0.0, 1.0, 0.0
# Left
-1.0, 0.0, 0.0
-1.0, 0.0, 0.0
-1.0, 0.0, 0.0
-1.0, 0.0, 0.0
#Bottom
0.0, -1.0, 0.0
0.0, -1.0, 0.0
0.0, -1.0, 0.0
0.0, -1.0, 0.0
# Back
0.0, 0.0, -1.0
0.0, 0.0, -1.0
0.0, 0.0, -1.0
0.0, 0.0, -1.0
